"id","id_guest","ts_booking","m_msg_len","channel","id_listing"
25981,"fff12998-ca45-4217-8a8d-8ffe4598a4e5","11:06.0",108,"book_it","bad9aeeb-b775-48b8-ab0d-cfe2de02654f"
27097,"fff64d2b-93de-4359-bbf1-1129f3691f1e","00:07.0",475,"contact_me","dbb7857c-e14a-4536-9cd6-903f68ef5cd0"
10532,"ffeb67c0-e4b3-4c41-8ef7-d1210498de99","0",219,"book_it","eca3f32c-f6fc-4846-8702-cca9ecb1297f"
29525,"ffe20d8e-a4e7-4bf1-a4d5-6eecf81f0969","0",257,"contact_me","727f3a60-84bb-4443-af15-c21693860f10"
4715,"ffdf4b2a-43ec-47d0-a234-0f7adb88bb52","49:49.0",469,"book_it","da1184a2-7d63-4ea0-82bc-a75fba0f8178"
25913,"ffd25d9f-6a82-4390-be82-5a478636e143","41:59.0",348,"book_it","6b452cd8-0980-487d-ab19-ac33c3f4b409"
19329,"ffd6f963-aba5-4694-a7ae-ff883b737e63","29:47.0",430,"contact_me","f6837aab-e690-4f7d-9f2a-dd3ecaca76d3"
17805,"ffd6b7c5-a495-4d91-8417-58022923446c","0",347,"contact_me","309a07a0-0fac-435e-b785-8bed2ae00d1c"
47511,"ffcaf330-58b9-4020-b8e3-a348741f2f35","0",365,"book_it","161b43f9-0e80-4feb-a8b8-3bf1e5fa2e3f"
3467,"ffc7970c-359c-4b08-b8df-db86847a0f6c","21:28.0",334,"contact_me","2dc8138e-8449-4461-b2c5-f3df7174419e"
4852,"ffc140ef-8ffd-4cc6-8d67-150a66dddc62","33:03.0",184,"book_it","90f9988e-5c1b-4303-9d15-19fdff2ced76"
20337,"ffb41033-cd2a-4509-8764-9300e024c738","0",227,"contact_me","8c519be8-f0b9-4987-a3fc-46a8e17b16aa"
36790,"ffad415d-3ab1-454c-b0c1-a456a0421f41","44:58.0",462,"book_it","5f364d31-0a25-435e-8ae9-47a4250f9a58"
27942,"ffa869ff-5dba-4d52-af78-76aab80a348f","48:47.0",280,"contact_me","22adbc5f-4ef1-424c-9598-bf4e629a053c"
25466,"ffa36dbd-4b60-438f-ab49-c140d862a06d","59:45.0",359,"contact_me","8787ce08-582f-461b-a5a3-d7cf65cc9521"
21663,"ff791548-d2c7-4f5c-97eb-2af36f58fb21","0",436,"contact_me","78bd2ec3-0d1b-4bdb-a9a4-ff31b393c4ca"
27893,"ff79689a-838c-4f39-971d-672e8445a3a0","0",186,"contact_me","477ea449-5ab5-4ae1-bddf-a5905712ee5f"
16305,"ff46399b-b288-430f-a298-9289d94fbf9b","0",320,"contact_me","06b2a4dc-dcb7-44f8-8d74-ca6bd10caf48"
10919,"ff46399b-b288-430f-a298-9289d94fbf9b","0",342,"contact_me","3a1d54ea-7df4-4b40-8d72-3aaf11c97ae2"
