id_user_anon,ab
96cdf536-88d2-436f-a6fb-86df9d4e4b4c,treatment
4bf312ae-3ca7-4abc-9d10-40975b2ec9b4,control
984a32d6-0cdd-4281-b8c2-4d604680d99a,control
732888ac-e357-4423-9cb5-f2cfbf4640f0,control
cb5e69e4-2f3c-46c9-a31a-d94277c4a727,treatment
12819f9b-5676-438b-a0d7-36da8301e2af,treatment
579de94a-b9b2-43fb-8ee1-4d7596c775aa,treatment
e665b379-a708-4598-8a6b-d1289c37c05f,treatment
8598b0b8-f599-4ffa-94ce-a6c7c5064c7b,control
e2f32f91-d059-420c-9186-663636e47a46,control
0b0c43b0-c850-4414-bc23-eef476b7a203,control
67b563ca-bc7b-44a8-a4f7-a432d96fc3ae,control
17249c1c-85f7-46e2-b3f8-b2895ce37621,control
0027301b-c6c6-419a-8279-77a8695ecf53,control
37a959a4-adfd-4706-93fd-b3ec21c30ac8,treatment
24f49a58-f226-4031-9ac4-eec4f9646977,control
aa1cc625-507e-4a51-8f56-011ac83d5752,treatment
bcddbd30-f140-4178-a3c3-ffeb8cbdfd71,treatment
349a7984-8ab4-442c-9408-98f2e60e4128,treatment
f7d80ccd-a0d5-4869-8ba8-7b62cfb67ef8,control
5081a980-a46b-4957-b15f-8eae2baf99a2,control
0dc8e77d-5cab-4d7c-88ef-cb8f7f530225,treatment
25f6c1a6-237b-44f7-87a9-39dd58c3c914,control
3a1c5c8d-0c01-4c52-b547-36b975058553,treatment
25aa520b-7b7c-4fab-b1c7-ce72aacf0ed5,control
4f191670-33e4-4db1-99d0-3046bc72181e,control
a15daf9d-d9e5-44c1-ba82-7b4b79271791,control
219dccce-aae6-4288-a696-9c426285a347,treatment
736fea76-b0a3-4390-b66a-027d58fefb43,treatment
e0a2e4e7-b4fa-4713-a7ee-dbb3acb7e22d,treatment
7e8d6402-64b1-4480-8ead-75e1123e97fb,control
c575cce5-24b2-47e0-9fca-2fa049f8a26d,treatment
8404521e-0c6a-4090-b5c0-ce3b6824dd9b,treatment
7b2a77b3-65ea-4104-9780-a6bceebd5fc6,control
64114700-63a0-44db-bb2a-b6345aa5ec6d,treatment
68f68376-7062-4aaa-a530-3db9e32b322a,control
455ab271-14ae-4e15-9f35-67c857008e79,treatment
eb5e7795-62e5-46b1-a883-4a151d430dfb,treatment
338cd869-b049-42d2-8a65-dc663f2c73b7,treatment
73a10133-0c4a-4b21-a9cb-7d27118b92e0,control
dadba538-66f2-4e05-923b-ff4ef0838087,control
80df5d86-62fb-4901-a583-9a2c10bfdc61,control
81f008d4-492f-47b8-977d-6dbe8b8ff57f,control
a8fa1933-ae7d-427a-acac-c4ea356c2bd4,control
2cd0432b-b168-41c9-9b89-ade0789b9b93,control
b2edbe8f-ba17-4752-b217-b3557facdc96,control
cc5920d5-c0a3-4a15-9511-bdf1065b3591,control
eec8bada-d6c2-4b33-8425-0be4a54d1db0,treatment
b851f0a8-d36a-4caf-b32c-29b9c1ff7f16,treatment
1713e562-3767-414c-ae76-0543cf672532,treatment
9855d59b-060e-4d18-865b-0210d603c711,control
8e409348-771f-4541-a693-6116fe770bdc,control
a3d24a4b-7f74-4ed4-b72d-3b0e5aca3775,control
ed31e0d9-9c20-456d-8e71-fbe230d23ea0,treatment
9b26dfd0-8bed-4ff7-a035-f7323d594da9,treatment
9a5c7f9e-84fd-49d9-bd84-774ab69f0f8c,control
3defea7f-2bac-431f-9a8e-ee5ed4525926,treatment
403f1b27-d029-4ddf-8b83-9bdb0217a1aa,treatment
53218836-5b9e-4dd0-91ed-c133e5dca840,treatment
cacdc86f-be47-47b5-b3b2-95c6a549a5bf,treatment
3ee02a5d-f4e9-454c-8fce-48a52f66eeed,treatment
b31b0234-7005-4c80-8e2a-38769621cc1b,control
