id_listing_anon,dim_room_type,dim_person_capacity,dim_bathrooms,dim_total_reviews
0013bf48-ddac-40c3-a02c-e323b82e8c8d,Entire home/apt,4,,10
0028cb0f-dee7-446b-9b5f-b681180b0a45,Private room,1,1.0,0
0045744c-1e35-4d62-b626-16497982c236,Entire home/apt,2,1.0,0
0052954e-f82d-49d9-98fd-12f96bddd10c,Private room,7,,0
00574d35-1195-4166-abef-9727345408f9,Entire home/apt,2,1.0,0
007e312c-6503-4562-9f9a-829cbe28fe15,Entire home/apt,3,1.0,3
00b11c8b-5fef-476a-b9e2-7af769d55104,Entire home/apt,5,1.0,2
00b57b17-727e-4542-b7d3-9184f9e44b6f,Entire home/apt,2,1.0,1
00bccd30-29c5-4370-a527-9acc4ef702c7,Private room,1,,0
00c5cca3-a047-4f68-983a-49c2d7bf2883,Entire home/apt,4,1.0,35
00c77d79-e97f-4d76-9f3b-a9eea93a322c,Private room,2,,1
00dcd56a-a9c4-4073-9e53-811df90ba775,Private room,2,1.0,30
00e42924-0b8c-49ce-8441-7a54593582c6,Entire home/apt,4,1.0,43
00ea07fd-c048-422d-9016-c131c45965a5,Private room,2,2.0,17
00ef80ac-8c8f-4081-b17a-21af75875bfe,Entire home/apt,2,1.0,2
00f243b8-f71c-479e-bb31-6e1dc74eee66,Entire home/apt,3,1.0,0
01040e61-b910-4620-98a7-87ed6f685002,Entire home/apt,2,1.0,42
01111284-d30a-45d6-8987-184cd8f68360,Entire home/apt,2,1.5,0
0112f02a-2e66-473e-8e6a-7aaa9fd380f5,Private room,1,,0
0115cfc1-0340-46f2-a538-4c3ec012e4c2,Entire home/apt,2,1.0,28
0117a0c8-642d-4471-9fad-7b0bf889149d,Private room,2,1.0,0
011b6f90-5893-4c52-8df6-1dcc20329276,Entire home/apt,3,1.0,4
0121d9d3-1b49-491c-8a2c-552a32559362,Entire home/apt,5,1.0,4
0122e38a-89d3-45af-a5d4-ac606e48295c,Private room,2,,8
01246223-d1b7-462d-b705-587df30fb98d,Private room,1,,1
012d3c7d-0ce2-40c8-bc83-ba338f2634a1,Private room,4,1.0,34
015880da-9d68-409e-a94b-348a94781886,Entire home/apt,2,1.0,3
015e724e-e2f6-4f08-9a90-0e788dbaf114,Private room,1,1.0,0
016652c7-aa2c-4f7f-b162-a307203c912d,Private room,2,1.0,0
016dfd5e-6f38-4bb1-97e9-66830bdb7f0b,Entire home/apt,5,1.0,1
017cb367-7699-43bc-8b6c-24c43e5efbb8,Private room,2,,0
017dd054-939d-4344-a83c-5545c16258fc,Entire home/apt,3,1.0,0
0181665b-db9c-4abd-a042-d38cc8d4a807,Entire home/apt,4,1.0,23
0186dddb-5a6a-4a12-9aab-0332751caefb,Entire home/apt,5,1.0,0
0195dda3-4cd9-4f0d-83f2-a6e6953a305d,Entire home/apt,4,1.0,91
019b82cf-a63c-42f2-950a-b40cc1c2d0d2,Entire home/apt,2,1.0,60
01a739e4-2e62-4488-865e-6bbdfbbb4767,Shared room,6,,0
01b48d90-a447-4e42-ac42-85024951433d,Private room,2,1.0,0
01cd5d1d-c14a-4709-984c-8888d22aa16f,Entire home/apt,3,1.0,0
01cffafb-42b7-4211-9f94-ba3674b54530,Entire home/apt,3,1.0,0
01f0125e-a39e-497b-b31e-b5c62d9c4c68,Private room,1,,0
01f07c6b-bfe3-42ed-a138-854415d0ed1f,Private room,2,1.5,0
01f1e164-e643-4298-831f-9ad928036be6,Private room,4,2.0,0
0215f1eb-21e8-4d85-ae51-427d80713a8a,Private room,1,1.0,0
02294a83-ef04-4370-ab31-15f7f8f0d6a6,Entire home/apt,2,1.0,4
02499d09-1485-44d9-af1a-aa4512d5e84b,Entire home/apt,2,1.0,60
0252600d-0b94-4e77-ad9c-160bef68c188,Private room,2,1.0,6
02760607-5577-48d1-a678-aa54d4057b9d,Entire home/apt,6,2.0,69
02898b75-7b6e-43d3-bb23-9dfb87687159,Private room,1,1.0,0
02967b72-edc9-49bd-943f-e39588ebd535,Private room,2,1.0,0
029bef95-83d0-4b5f-bf8b-31ea2dbdce40,Entire home/apt,2,1.0,0
02ad8fd7-4039-4d97-bd6f-01f7cbace30d,Entire home/apt,2,1.0,0
02ce8561-0acd-4bfb-877a-61abf519b7c3,Entire home/apt,4,1.0,0
030bab0a-6ab6-43d1-a563-1036d8b3dea0,Entire home/apt,2,1.0,0
0319351a-1ef2-4bd0-bf09-23775dcc2063,Entire home/apt,4,1.0,21
031ef302-4743-4fa1-a1a2-36a01789e26a,Private room,1,,1
032b33b6-c66d-418a-8ea7-7809433aeda5,Private room,1,,0
032bd66d-b039-4e67-bd7f-c7b474b67a49,Entire home/apt,4,1.0,1
032f1708-15f0-4c4f-a6d6-9f27c979b2a5,Private room,1,1.0,0
